02/04/2020	RMS-19-06801-1	116 Huntington Way	Dallas	30132	Paulding	Go to Auction.com
02/04/2020	NAT-19-06727-1	123 Cold Water Ct	Dallas	30132	Paulding	Go to Xome.com
02/04/2020	DMI-19-06790-1	32 Kelso Way	Dallas	30132	Paulding	Go to Hudsonmarshall.com
02/04/2020	BVF-18-05688-2	11130 Surrey Park Trl	Duluth	30097	Fulton	Not Available
02/04/2020	RMS-19-06181-1	149 Long Pines Cir	East Dublin	31027	Laurens	Go to Auction.com
02/04/2020	SHP-16-03088-4	2241 Boulder Run Trail	Ellenwood	30294	DeKalb	Not Available
02/04/2020	BAC-15-05398-9	3982 Ward Lake Trail	Ellenwood	30294	DeKalb	Go to Auction.com
02/04/2020	BVF-18-07922-6	455 Railroad St	Flovilla	30216	Butts	Not Available
02/04/2020	DMI-19-06646-1	812 Sugarloaf Way	Hampton	30228	Clayton	Not Available
02/04/2020	RMS-19-06184-1	1106 Tomcat Trl	Hinesville	31313	Liberty	Go to Auction.com
02/04/2020	LNC-19-03333-1	503 Idlewood Cir	Hinesville	31313	Liberty	Not Available
02/04/2020	LNC-19-06760-1	8302 Parkwood Pl	Jonesboro	30238	Clayton	Go to Auction.com
02/04/2020	SHP-17-04901-4	1142 Ashton Park Dr	Lawrenceville	30045	Gwinnett	Not Available
02/04/2020	LNC-19-04780-1	315 Kingsport Dr	Lawrenceville	30045	Gwinnett	Go to Auction.com
02/04/2020	DMI-19-07085-1	951 David Drive	Lawrenceville	30045	Gwinnett	Not Available
02/04/2020	TMS-18-03882-7	2129 Strang Blvd	Lithonia	30058	DeKalb	Go to Auction.com
02/04/2020	MTB-16-07104-17	2737 Penwood Place	Lithonia	30058	DeKalb	Not Available
02/04/2020	BVF-17-06552-11	6860 Parkway Dr	Lithonia	30058	DeKalb	Not Available
02/04/2020	PLE-19-04945-1	353 Clover Brook Drive	Locust Valley	30248	Henry	Not Available
02/04/2020	NAT-19-07222-1	1687 Lawton Ave	Macon	31201	Bibb	Go to Xome.com
02/04/2020	DMI-16-04277-21	1278 Houndslake Drive	Marietta	30008	Cobb	Not Available
